queueing.simulacion(5,5,50,[1,3,5,7,9],[2,4,6,8,10])


			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
       2            2.9578              0.64198              2.9578             0.99703            1.639           4.5968             1                      0      
       3             4.744              0.23742              1.7863                   0          0.23742           4.9814             0                0.14726      
       4            7.8473               2.7653              3.1033                   0           2.7653           10.613             0                 3.0131      
       5            14.092              0.40206              6.2445                   0          0.40206           14.494             0                 6.4923      
       6            15.476              0.19492              1.3839                   0          0.19492           15.671             0                 7.4741      
       7            21.801               4.2497              6.3249                   0           4.2497            26.05             0                 13.604      
       8            27.001               0.8909              5.2005                   0           0.8909           27.892             0                 14.555      
       9            28.417               1.0891              1.4159                   0           1.0891           29.506             0                  15.08      
      10            31.155               0.8834               2.738                   0           0.8834           32.038             0                 16.729      
      11            37.254             0.027193              6.0989                   0         0.027193           37.281             0                 21.944      
      12            52.086               2.1251              14.832                   0           2.1251           54.211             0                 36.749      
      13            57.538               2.2821              5.4522                   0           2.2821            59.82             0                 40.076      
      14            81.415              0.40535              23.877                   0          0.40535            81.82             0                 61.671      
      15            91.601               1.5354              10.186                   0           1.5354           93.136             0                 71.451      
      16            97.704               1.0432              6.1032                   0           1.0432           98.747             0                 76.019      
      17            98.718              0.25385              1.0142            0.028997          0.28285           99.001             1                 76.019      
      18            101.95               1.1998              3.2336                   0           1.1998           103.15             0                  78.97      
      19            102.41              0.29628             0.46301             0.73681           1.0331           103.45             1                  78.97      
      20            112.54               1.9403              10.121                   0           1.9403           114.48             0                 88.057      
      21            115.95               7.0047              3.4197                   0           7.0047           122.96             0                 89.537      
      22            118.48              0.34306              2.5273              4.4774           4.8204            123.3             1                 89.537      
      23            119.42              0.96953             0.93872              3.8817           4.8513           124.27             2                 89.537      
      24            119.75              0.89199             0.33029               4.521            5.413           125.16             3                 89.537      
      25            120.25               2.4051             0.49886              4.9141           7.3192           127.57             4                 89.537      
      26            132.97              0.85351              12.717                   0          0.85351           133.82             0                 94.935      
      27             143.8              0.27781              10.834                   0          0.27781           144.08             0                 104.92      
      28            149.56               0.1952              5.7584                   0           0.1952           149.76             0                  110.4      
      29             151.1                6.007              1.5418                   0            6.007           157.11             0                 111.74      
      30            153.92              0.25626              2.8224              3.1846           3.4408           157.37             1                 111.74      
      31            156.51               3.0169              2.5846             0.85625           3.8731           160.38             2                 111.74      
      32            160.28              0.78391               3.773             0.10015          0.88407           161.17             1                 111.74      
      33            162.58              0.48169              2.3023                   0          0.48169           163.07             0                 113.16      
      34            166.61             0.043634              4.0259                   0         0.043634           166.65             0                 116.71      
      35            172.16               1.3212              5.5487                   0           1.3212           173.48             0                 122.21      
      36             175.5               1.6594              3.3411                   0           1.6594           177.16             0                 124.23      
      37             184.4               1.7165              8.8993                   0           1.7165           186.12             0                 131.47      
      38            188.24                 2.52              3.8434                   0             2.52           190.76             0                  133.6      
      39            196.55               1.6991              8.3065                   0           1.6991           198.25             0                 139.38      
      40            197.74                2.336              1.1955             0.50353           2.8395           200.58             1                 139.38      
      41            201.86              0.90829              4.1153                   0          0.90829           202.77             0                 140.66      
      42            208.69               4.5244              6.8339                   0           4.5244           213.22             0                 146.58      
      43            209.36               2.1785             0.66646               3.858           6.0364            215.4             1                 146.58      
      44             216.3              0.59231              6.9415                   0          0.59231           216.89             0                 147.49      
      45            219.74               1.2381               3.443                   0           1.2381           220.98             0                 150.34      
      46            220.32               3.0074             0.57419             0.66389           3.6713           223.99             1                 150.34      
      47            232.94               0.5311              12.625                   0           0.5311           233.47             0                 159.29      
      48            236.93               1.3379              3.9896                   0           1.3379           238.27             0                 162.75      
      49            239.55               1.1158              2.6174                   0           1.1158           240.67             0                 164.03      
      50            242.38               1.0642              2.8312                   0           1.0642           243.45             0                 165.75      



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0             0.98884                    0                  0           0.98884          0.98884             0                      0      
       2            2.9762             0.82352               2.9762                  0           0.82352           3.7997             0                 1.9874      
       3            8.8327              1.3996               5.8565                  0            1.3996           10.232             0                 7.0203      
       4            19.275             0.89382               10.443                  0           0.89382           20.169             0                 16.063      
       5            47.723             0.32318               28.447                  0           0.32318           48.046             0                 43.617      
       6             55.63              2.7014               7.9068                  0            2.7014           58.331             0                 51.201      
       7            65.308              0.4415               9.6788                  0            0.4415            65.75             0                 58.178      
       8            66.519              2.5083               1.2103                  0            2.5083           69.027             0                 58.947      
       9            66.939             0.65889              0.41997             2.0883            2.7472           69.686             1                 58.947      
      10            73.703                4.01               6.7645                  0              4.01           77.713             0                 62.964      
      11            82.176              1.3733               8.4726                  0            1.3733           83.549             0                 67.427      
      12            83.156              3.4653              0.98062            0.39268             3.858           87.014             1                 67.427      
      13            107.04              3.6841               23.887                  0            3.6841           110.73             0                 87.455      
      14            109.51             0.10597               2.4699             1.2141            1.3201           110.83             1                 87.455      
      15            144.75              1.1875               35.236                  0            1.1875           145.94             0                 121.37      
      16             145.7             0.27189              0.95495            0.23258           0.50447           146.21             1                 121.37      
      17            149.99             0.33099               4.2829                  0           0.33099           150.32             0                 125.15      
      18            150.77             0.71561              0.78718                  0           0.71561           151.49             0                 125.61      
      19            155.32             0.61686               4.5432                  0           0.61686           155.93             0                 129.43      
      20            155.47              1.5516              0.15068            0.46619            2.0178           157.49             1                 129.43      
      21            156.25             0.22444              0.78016             1.2376            1.4621           157.71             1                 129.43      
      22            160.02             0.70703                3.769                  0           0.70703           160.72             0                 131.74      
      23            161.62              3.5864               1.5997                  0            3.5864            165.2             0                 132.63      
      24            169.54              2.9879               7.9189                  0            2.9879           172.52             0                 136.97      
      25            172.96              3.2547               3.4205                  0            3.2547           176.21             0                  137.4      
      26            197.46              2.0387               24.505                  0            2.0387            199.5             0                 158.65      
      27            202.09              2.6115               4.6239                  0            2.6115            204.7             0                 161.23      
      28            208.85              2.8174               6.7678                  0            2.8174           211.67             0                 165.39      
      29            210.12             0.46239               1.2635             1.5539            2.0163           212.13             1                 165.39      
      30            214.09              4.5868               3.9703                  0            4.5868           218.67             0                 167.34      
      31            216.84              5.0721                2.748             1.8388             6.911           223.75             1                 167.34      
      32            225.49               4.219               8.6555                  0             4.219           229.71             0                 169.09      
      33            230.57              1.5569               5.0791                  0            1.5569           232.13             0                 169.95      
      34             231.4             0.80973              0.83442             0.7225            1.5322           232.94             1                 169.95      
      35            238.02             0.25628               6.6173                  0           0.25628           238.28             0                 175.03      
      36            267.92              1.3166               29.902                  0            1.3166           269.24             0                 204.68      
      37            277.43             0.75581               9.5024                  0           0.75581           278.18             0                 212.87      
      38            288.26             0.12218                10.83                  0           0.12218           288.38             0                 222.94      
      39            289.65              2.0001                1.399                  0            2.0001           291.65             0                 224.22      
      40            295.31                3.48               5.6571                  0              3.48           298.79             0                 227.87      
      41            295.56              4.7192              0.25097              3.229            7.9482           303.51             1                 227.87      
      42            300.45              3.3787                4.888             3.0601            6.4389           306.89             1                 227.87      
      43            308.98             0.99103               8.5312                  0           0.99103           309.97             0                 229.97      
      44            323.58              1.0856               14.594                  0            1.0856           324.66             0                 243.57      
      45            323.65              4.0649             0.073039             1.0126            5.0775           328.73             1                 243.57      
      46            326.37              0.1165               2.7167             2.3608            2.4773           328.84             1                 243.57      
      47            327.32              3.2896              0.95064             1.5267            4.8162           332.13             2                 243.57      
      48            355.88              0.6022               28.561                  0            0.6022           356.48             0                 267.31      
      49            363.29              3.4379               7.4164                  0            3.4379           366.73             0                 274.13      
      50            369.27              5.2739               5.9738                  0            5.2739           374.54             0                 276.66      



			Experimento Modelo de Colas

    Corrida    CantidadSujetos    TiempoLambdaEntreLlegadas    TiemposLambdaDeServicio    MediaTiempoLlegadaACola    MediaTiempoEnCola    MediaTiempoEnSistema    MediaPersonasEnCola    MediaTiempoOcioServicio
    _______    _______________    _________________________    _______________________    _______________________    _________________    ____________________    ___________________    _______________________

       1             50                       1                           2                       27.166                   20.202                22.248                  9.36                    6.7084         
       2             50                       3                           2                       66.054                   2.3167                4.1315                  1.42                    20.553         
       3             50                       5                           2                        103.1                  0.80725                2.8259                   0.5                    54.941         
       4             50                       7                           2                       126.01                  0.57447                2.1284                   0.4                    89.318         
       5             50                       9                           2                       187.98                  0.41872                2.3763                   0.3                    146.59         



			Ejecucion de Modelo de Colas

    Sujeto    TiempoLlegadaACola    TiempoServicio    TiempoEntreLlegadas    TiempoEnCola    TiempoEnSistema    TiempoSalida    PersonasEnCola    TiempoOcioServicio
    ______    __________________    ______________    ___________________    ____________    _______________    ____________    ______________    __________________

       1                 0              2.5696                    0                  0           2.5696            2.5696              0                  0         
